,Public Food Key,Classification,Food Name,Total calories(kcal),Protein,Total Fat,Total dietary fibre,Alcohol,Total sugars,Carbohydrates,Sodium (Na),Saturated fatty acids,Monounsaturated fatty acids,Polyunsaturated fatty acids,Trans fatty acids,Cholesterol,Categories,Food Description
14,F006618,31302,"Pepper, black, ground",227.77,10.40,3.30,25.30,0.00,0.60,38.60,20.00,44.49,23.62,31.90,0.00,0.00,Herbs(dried)  and spices ,"Dried and ground unripe fruit of the pepper tree (Piper nigrum), used as a spice."
15,F007715,31302,"Rosemary, dried",232.55,4.90,15.20,42.60,0.00,19.60,20.40,50.00,57.93,23.90,18.39,0.00,0.00,Herbs(dried)  and spices ,Dried woody herb with fragrant needle-like green leaves on small stalks.
16,F007726,31302,"Sage, dried",238.53,10.60,12.80,40.30,0.00,1.70,20.40,11.00,68.95,17.54,16.51,0.00,0.00,Herbs(dried)  and spices ,Dry leaves of Salvia officinalis used as a herb.
17,F009160,31302,"Thyme, dried, ground",211.76,9.10,7.40,37.00,0.00,1.70,26.90,55.00,62.19,10.71,27.11,0.00,0.00,Herbs(dried)  and spices ,"Dried, and sometimes ground, leaves of Thymus vulgaris, used as a culinary herb."
18,F009335,31302,"Turmeric, dried, ground",247.85,9.70,3.20,22.70,0.00,3.20,44.40,27.00,60.40,14.76,24.84,0.00,0.00,Herbs(dried)  and spices ,"Dried and ground rhizome of Curcuma domestica or C. longa, used as a spice."
19,F007870,31301,"Salt substitute, potassium chloride",0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,Salt,"Product sold as a replacement for regular table salt, containing predominantly potassium chloride."
20,F007878,31301,"Salt, table, iodised",0.00,0.00,0.00,0.00,0.00,0.00,0.00,38168.00,0.00,0.00,0.00,0.00,0.00,Salt,"Fine granules of sodium chloride sold for direct addition to foods, to which iodine has been added in the form of potassium iodate or iodide. May contain free-flowing agents."
21,F007879,31301,"Salt, table, non-iodised",0.00,0.00,0.00,0.00,0.00,0.00,0.00,38178.00,0.00,0.00,0.00,0.00,0.00,Salt,Fine granules of sodium chloride sold for direct addition to foods. May contain free-flowing agents and small amounts of other minerals such as potassium.
22,F008933,31303,"Stock, dry powder or cube",215.11,11.30,8.90,0.00,0.00,4.30,22.50,18400.00,51.50,35.97,7.86,5.20,0.00,Stock cubes and seasonings ,Concentrated meat stock that is dried and supplied as a powder or compressed into a cube. Contains ingredients such as salt and flavours.
23,F009072,31303,"Taco seasoning mix, chilli-based",222.51,5.90,4.10,9.90,0.00,19.20,39.70,9350.00,27.90,23.60,48.40,0.00,0.00,Stock cubes and seasonings ,"Powdered product intended for addition to meat and other ingredients to prepare Mexican-style dishes such as taco filling. Typical ingredients include salt, sugar, maize starch, spices, chilli and citric acid."
24,F000247,31501,"Baking powder, dry powder",86.28,0.80,0.30,0.40,0.00,0.10,19.80,6868.00,0.00,0.00,0.00,0.00,0.00,Chemical raising agents and cooking ingredients ,"Fine white powder used to chemically leaven baked goods such as cakes. Composed of 50% cream of tartar, 25% baking soda, and 25% starch."
25,F000248,31501,"Baking soda (bicarbonate), dry powder",0.00,0.00,0.00,0.00,0.00,0.00,0.00,27360.00,0.00,0.00,0.00,0.00,0.00,Chemical raising agents and cooking ingredients ,Fine white powder used to chemically leaven baked goods such as cakes.
26,F003250,31501,"Cream of tartar, dry powder",0.00,0.00,0.00,0.20,0.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,0.00,Chemical raising agents and cooking ingredients ,"Purified, crystallised potassium bitartrate, used as the acid component of some fast acting baking powder mixtures."
27,F004196,31502,"Gelatine, all types",346.32,84.40,0.40,0.00,0.00,0.00,0.00,330.00,50.00,42.86,7.14,0.00,0.00,Gelatine ,"Unflavoured light yellow granular proteinaceous powder. Used to sweeten and thicken soups, sauces and desserts."
28,F004220,12103,"Gluten, from wheat (vital wheat gluten)",358.99,75.20,0.00,0.60,0.00,0.00,13.20,29.00,21.97,12.60,65.51,0.00,0.00,Cereal flours and starches,Protein rich extract of wheat flour.
29,F008831,24102,"Starch, potato",307.12,0.00,0.50,5.90,0.00,0.00,74.50,9.00,44.80,22.30,29.80,0.00,0.00,Potato products ,Fine powder composed of polysaccharides derived from the potato tuber.
30,F009351,31401,"Vanilla, artificial or imitation",55.21,0.00,0.00,0.00,0.00,14.40,14.40,3.00,0.00,0.00,0.00,0.00,0.00,Essences,"Solution containing the substance vanillin, used as a flavouring agent."
31,F009350,31401,Vanilla bean extract,287.52,0.10,0.10,0.00,34.40,12.60,12.60,9.00,41.67,41.67,16.67,0.00,0.00,Essences,"Alcoholic extract of the vanilla bean (Vanilla plantifolia or V. tahitensis), used as a flavouring agent."
32,F009606,31101,"Yeast, dry powder",217.50,36.40,5.00,26.90,0.00,0.00,6.30,170.00,18.79,80.89,0.32,0.00,0.00,Yeast,"A cream or pale grey powder with a fine, smooth texture. Active raising agent used domestically to leaven a wide range of breads, cakes and pastries."
33,F000996,29101,"Beer, high alcohol (5% v/v & above)",41.59,0.50,0.00,0.00,4.50,0.20,2.10,4.00,0.00,0.00,0.00,0.00,0.00,"Beers, > 3.5% alcohol ","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), using warm temperature fermentation. Greater than or equal to 5% v/v alcohol."
34,F000994,29101,"Beer, full strength (alcohol 4-4.9% v/v)",36.33,0.40,0.00,0.00,3.70,0.00,2.30,5.00,0.00,0.00,0.00,0.00,0.00,"Beers, > 3.5% alcohol ","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), using low fermentation temperatures. Alcohol content between 4-4.9% v/v alcohol."
35,F000995,29101,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",30.11,0.30,0.00,0.00,3.60,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,"Beers, > 3.5% alcohol ","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), resulting in lower final carbohydrate levels than regular beer.  Alcohol content between 4 - 4.9% v/v alcohol."
36,F001006,29102,"Beer, mid-strength (alcohol 3-3.9% v/v)",30.59,0.30,0.00,0.00,3.00,0.00,2.20,3.00,0.00,0.00,0.00,0.00,0.00,"Beers, 1.15- 3.5% alcohol, reduced alcohol / light ","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as mid strength. Alcohol content between 3-3.9% v/v alcohol."
37,F001004,29102,"Beer, light (alcohol 1- less than 3% v/v)",23.90,0.20,0.00,0.00,2.10,0.00,2.20,3.00,0.00,0.00,0.00,0.00,0.00,"Beers, 1.15- 3.5% alcohol, reduced alcohol / light ","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as Light or Lite. Alcohol content between 1-<3% v/v alcohol."
38,F000051,29301,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",213.19,0.00,0.00,0.00,30.70,0.10,0.10,3.00,0.00,0.00,0.00,0.00,0.00,Spirits ,"Includes beverages obtained from the distillation of wine or fermented sugar, cereals or potatoes, or the fermented preparation of grapes or grape products."
39,F000050,29301,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",72.18,0.00,0.00,0.00,10.30,0.30,0.30,2.00,0.00,0.00,0.00,0.00,0.00,Spirits ,"Includes beverages obtained from the distillation of wine or fermented sugar, cereals or potatoes, or the fermented preparation of grapes or grape products, that has been heated until a large proportion of alcohol has evaporated."
40,F002955,29401,"Cider, apple (alcohol approximately 4-5% v/v)",49.95,0.00,0.00,0.00,3.90,5.60,5.60,3.00,0.00,0.00,0.00,0.00,0.00,Cider,"Alcoholic beverage prepared from fermented apples with significant residual sugars. Includes cider produced in Australia, New Zealand and Denmark. Approximately 4% alcohol."
41,F009572,29201,"Wine, red, cabernet sauvignon",79.35,0.30,0.00,0.00,11.00,0.20,0.20,4.00,0.00,0.00,0.00,0.00,0.00,"Wines, red (including sparkling varieties and rose styles)","Alcoholic beverage produced by fermentation of grape juice from the cabernet sauvignon grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia. Approximately 12% v/v alcohol."
42,F009574,29201,"Wine, red, merlot",78.87,0.30,0.00,0.00,10.90,0.40,0.40,5.00,0.00,0.00,0.00,0.00,0.00,"Wines, red (including sparkling varieties and rose styles)","Alcoholic beverage produced by fermentation of grape juice from the merlot grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol."
43,F009575,29201,"Wine, red, pinot noir",76.72,0.20,0.00,0.00,10.70,0.20,0.20,3.00,0.00,0.00,0.00,0.00,0.00,"Wines, red (including sparkling varieties and rose styles)","Alcoholic beverage produced by fermentation of grape juice from the pinot noir grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol."
44,F009577,29201,"Wine, red, shiraz",81.74,0.20,0.00,0.00,11.50,0.20,0.20,7.00,0.00,0.00,0.00,0.00,0.00,"Wines, red (including sparkling varieties and rose styles)","Alcoholic beverage produced by fermentation of grape juice from the shiraz grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia only. Approximately 12% v/v alcohol."
45,F009571,29201,"Wine, red",80.07,0.20,0.00,0.00,11.20,0.20,0.20,5.00,0.00,0.00,0.00,0.00,0.00,"Wines, red (including sparkling varieties and rose styles)",Alcoholic beverage produced by fermentation of grape juice with prolonged grape skin contact to produce wine of a deep red colour. Approximately 12% v/v alcohol.
46,F009573,29201,"Wine, red, cooked",28.92,0.30,0.00,0.00,3.90,0.20,0.20,5.00,0.00,0.00,0.00,0.00,0.00,"Wines, red (including sparkling varieties and rose styles)","Alcoholic beverage produced by fermentation of grape juice with prolonged contact with grape skins, that has been heated until the majority of alcohol has evaporated."
47,F009578,29201,"Wine, red, sparkling",80.78,0.20,0.00,0.00,10.30,2.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,"Wines, red (including sparkling varieties and rose styles)","Alcoholic beverage produced by fermentation of grape juice from red wine grapes, retaining significant quantities of dissolved carbon dioxide. Approximately 13% v/v alcohol."
48,F009579,29201,"Wine, rose",69.07,0.20,0.00,0.00,9.40,0.70,0.70,5.00,0.00,0.00,0.00,0.00,0.00,"Wines, red (including sparkling varieties and rose styles)",Alcoholic beverage produced by fermentation of grape juice so that the wine has a pale pink colour. Includes wine produced in Australia and New Zealand. Approximately 13% v/v alcohol.
49,F009583,29202,"Wine, white, sauvignon blanc",70.75,0.20,0.00,0.00,9.90,0.10,0.10,2.00,0.00,0.00,0.00,0.00,0.00,"Wines, white (including sparkling varieties)","Alcoholic beverage produced by fermentation of grape juice from the sauvignon blanc grape, produced with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol."
50,F009584,29202,"Wine, white, semillon",64.53,0.20,0.00,0.00,9.00,0.20,0.20,6.00,0.00,0.00,0.00,0.00,0.00,"Wines, white (including sparkling varieties)","Alcoholic beverage produced by fermentation of grape juice from the semillon grape, produced with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia only. Approximately 12% v/v alcohol."
51,F009582,29202,"Wine, white, chardonnay",74.33,0.30,0.00,0.00,10.30,0.30,0.30,4.00,0.00,0.00,0.00,0.00,0.00,"Wines, white (including sparkling varieties)","Alcoholic beverage produced by fermentation of grape juice produced from the chardonnay grape, with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia. Approximately 13% v/v alcohol."
52,F009586,29202,"Wine, white, riesling",69.79,0.20,0.00,0.00,9.60,0.40,0.40,7.00,0.00,0.00,0.00,0.00,0.00,"Wines, white (including sparkling varieties)","Alcoholic beverage prepared by fermentation of grape juice produced from the riesling grape, with little contact with grape skins so that the wine is pale yellow in colour with some sugars remaining. Includes wine produced in Australia. Approximately 12% v/v alcohol."
53,F009581,29202,"Wine, white",71.94,0.30,0.00,0.00,10.00,0.20,0.20,4.00,0.00,0.00,0.00,0.00,0.00,"Wines, white (including sparkling varieties)","Alcoholic beverage produced by fermentation of grape juice, produced with little contact with grape skins so that the wine is pale yellow in colour. Approximately 12% v/v alcohol."
54,F009580,29202,"Wine, white, cooked",25.57,0.20,0.00,0.00,3.40,0.30,0.30,5.00,0.00,0.00,0.00,0.00,0.00,"Wines, white (including sparkling varieties)","Alcoholic beverage produced by fermentation of grape juice with little contact with grape skins, then heated until the majority of alcohol has evaporated."
55,F009590,29202,"Wine, white, sparkling",73.14,0.20,0.00,0.00,9.80,1.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,"Wines, white (including sparkling varieties)",Alcoholic beverage prepared by fermentation of grape juice produced with little grape skin contact so that the wine is pale yellow in colour and retains significant quantities of dissolved carbon dioxide. Includes wine described as brut or semi-brut in style produced in Australia and France. Approximately 12% v/v alcohol.
56,F009592,29202,"Wine, white, sweet dessert style",118.79,0.40,0.00,0.00,8.40,14.70,14.70,13.00,0.00,0.00,0.00,0.00,0.00,"Wines, white (including sparkling varieties)","Alcoholic beverage prepared by fermentation of grape juice with little grape skin contact, so that the wine is golden in colour and retains a high level of residual sugars (approximately 10% sugars). Includes botrytised wine produced in Australia and New Zealand. Approximately 10% v/v alcohol."
57,F009566,29203,"Wine, fortified, port",143.40,0.20,0.00,0.00,13.60,12.40,12.40,15.00,0.00,0.00,0.00,0.00,0.00,Fortified wines ,"Sweet, alcoholic beverage prepared from fermented grape juice to which additional alcohol is added. Approximately 16% v/v alcohol."
58,F009567,29203,"Wine, fortified, sherry, dry style (approximately 1% sugars)",103.97,0.10,0.00,0.00,14.20,1.20,1.20,19.00,0.00,0.00,0.00,0.00,0.00,Fortified wines ,Fermented grape juice to which additional alcohol is added and with a low sugars content (approximately 1%). Approximately 18% v/v alcohol.
59,F009568,29203,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",137.91,0.20,0.00,0.00,13.60,11.10,11.10,18.00,0.00,0.00,0.00,0.00,0.00,Fortified wines ,Fermented grape juice to which additional alcohol is added and with a high sugars content (approximately 11%) and a sweet flavour. Approximately 17.0% v/v alcohol.
60,F002980,11804,Cocoa powder,259.56,20.50,15.20,27.70,0.00,1.50,10.50,81.00,63.30,32.50,3.40,0.00,0.00,Unfortified dry beverage flavourings,Powder produced from the liquor extracted from cocoa beans. Typically used to flavour beverages and in baking.
61,F001029,11802,"Beverage base, chocolate flavour, added vitamins A, B1, B2, C & D, Ca & Fe (Milo)",380.98,12.70,10.40,9.10,0.00,47.30,61.20,75.00,66.60,25.61,3.22,4.90,10.00,Fortified dry beverage flavourings,"Dry beverage base used to prepare a chocolate flavoured beverage with the addition of milk. Contains added iron, calcium and vitamins A, B1, B2, C and D. Typical ingredients include malted cereals, milk solids and cocoa. Milo brand is an example of such a product."
62,F001068,11801,"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk",95.12,4.20,4.00,0.80,0.00,9.60,10.90,39.00,0.00,0.00,0.00,0.00,10.00,Fortified beverage flavourings prepared with water or milk,Beverage prepared by mixing milo powder with regular fat cows milk.
63,F001036,11804,"Beverage base, drinking chocolate, unfortified",357.55,5.60,4.80,1.50,0.00,74.30,76.30,160.00,62.80,30.49,2.48,4.90,0.00,Unfortified dry beverage flavourings,"Unfortified powdered mixture of sugar and cocoa or chocolate used for mixing with milk or water to produce a beverage. Other ingredients may include maltodextrin, milk solids, soy lecithin, salt, flavour."
64,F001064,11803,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",87.24,3.50,3.50,0.10,0.00,10.70,10.80,44.00,0.00,0.00,0.00,0.00,10.00,Unfortified beverage flavourings prepared with water or milk,Beverage prepared by mixing drinking chocolate powder with regular fat cows milk.
65,F003060,11205,"Coffee, instant, dry powder or granules",101.10,18.00,0.30,20.60,0.00,3.40,3.60,61.00,47.90,11.90,38.60,1.60,0.00,"Dry coffee powder, caffeinated or decaffeinated","Dried extract of coffee beans, used to produce a beverage by the addition of boiling water."
66,F003017,11201,"Coffee, black, from instant coffee powder",0.96,0.20,0.00,0.20,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,"Coffee beverage, prepared with water","Beverage made from instant coffee powder or granules to which boiling water is added. Does not contain added milk, sugar or flavour."
67,F003061,11205,"Coffee, instant, dry powder or granules, decaffeinated",85.33,18.00,0.30,20.60,0.00,2.30,2.50,61.00,47.90,11.90,38.60,1.60,0.00,"Dry coffee powder, caffeinated or decaffeinated","Dried extract of decaffeinated coffee beans, used to produce a beverage by the addition of boiling water."
68,F003018,11203,"Coffee, black, from instant coffee powder, decaffeinated",0.72,0.20,0.00,0.20,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,"Coffee beverage, decaffeinated, prepared with water","Beverage made from instant decaffeinated coffee powder or granules to which boiling water is added. Does not contain added milk, sugar or flavour."
69,F003041,11201,"Coffee, espresso, from ground coffee beans",9.56,1.70,0.30,0.00,0.00,0.00,0.00,2.00,47.90,11.90,38.60,1.60,0.00,"Coffee beverage, prepared with water","Beverage prepared from ground coffee beans and a small amount of hot water, as purchased in takeaway outlets or restaurants. Does not contain added milk, sugar or flavour."
70,F003036,11202,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk",54.73,3.00,2.70,0.00,0.00,4.80,4.90,28.00,0.00,0.00,0.00,0.00,8.00,"Coffee beverage, prepared with milk or milk substitute",Beverage prepared from a serve of espresso style coffee to which a large amount of heated and aerated regular fat cows milk is added and sprinkled with chocolate. Does not contain added sugar or flavour.
71,F003048,11202,"Coffee, flat white or latte, from ground coffee beans, with regular fat cows milk",55.93,3.00,2.80,0.00,0.00,4.80,4.80,29.00,0.00,0.00,0.00,0.00,8.00,"Coffee beverage, prepared with milk or milk substitute",Beverage prepared from a serve of espresso style coffee to which a large amount of heated and aerated regular fat cows milk is added. Does not contain added sugar or flavour.
72,F003065,11201,"Coffee, long black, from ground coffee beans",1.91,0.30,0.10,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,"Coffee beverage, prepared with water","Beverage prepared from ground coffee beans to which a large volume of hot water is added. Does not contain added milk, sugar, or flavour."
73,F003130,11403,"Cordial base, 25% citrus fruit juice, regular",144.84,0.00,0.00,0.00,0.00,37.30,37.30,12.00,0.00,0.00,0.00,0.00,0.00,Cordial concentrate ,"Concentrated sugar-based syrup containing a minimum of 25% citrus fruit juice (typically orange or lemon juice), used to prepare a beverage by dilution with water."
74,F003158,11401,"Cordial, 25% citrus fruit juice, regular, recommended dilution",33.94,0.00,0.00,0.00,0.00,8.70,8.70,5.00,0.00,0.00,0.00,0.00,0.00,"Cordials, made from concentrate",Non-alcoholic beverage prepared by mixing 1 part of a concentrated sugar syrup containing 25% citrus fruit juice with 4 parts of water.
75,F003135,11403,"Cordial base, 40% citrus fruit juice, regular",157.50,0.20,0.00,0.00,0.00,40.20,40.20,43.00,0.00,0.00,0.00,0.00,0.00,Cordial concentrate ,"Concentrated sugar-based syrup containing at least 40% citrus fruit juice (typically orange or lemon juice), used to prepare a beverage by dilution with water."
76,F003160,11401,"Cordial, 40% citrus fruit juice, regular, recommended dilution",36.81,0.00,0.00,0.00,0.00,9.40,9.40,12.00,0.00,0.00,0.00,0.00,0.00,"Cordials, made from concentrate",Non-alcoholic beverage prepared by mixing 1 part of a concentrated sugar syrup containing 40% non-citrus fruit juice with 4 parts of water.
77,F003128,11403,"Cordial base, 5% blackcurrant juice, regular",220.60,0.10,0.00,0.00,0.00,57.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,Cordial concentrate ,"Concentrated sugar-based syrup containing a minimum of 5% blackcurrant juice, used to prepare a beverage by dilution with water."
78,F003156,11401,"Cordial, 25% blackcurrant juice, regular, recommended dilution",45.65,0.00,0.00,0.00,0.00,11.80,11.80,2.00,0.00,0.00,0.00,0.00,0.00,"Cordials, made from concentrate",Non-alcoholic beverage prepared by mixing 1 part of a concentrated sugar syrup containing blackcurrant juice with 5 parts of water.
79,F004099,11307,"Fruit drink, apple juice",38.72,0.00,0.00,0.00,0.00,9.80,9.80,7.00,0.00,0.00,0.00,0.00,0.00,Fruit drinks (ready to drink or made from concentrate),"Commercially prepared product made from 25% apple juice or puree, water, sugars and food acids. Does not contain added vitamin C."
80,F004102,11307,"Fruit drink, cranberry",43.26,0.00,0.00,0.10,0.00,11.30,11.30,16.00,0.00,0.00,0.00,0.00,0.00,Fruit drinks (ready to drink or made from concentrate),"Commercially prepared beverage made from approximately 25% cranberry juice, water and sugar."
81,F004114,11307,"Fruit drink, orange juice",42.07,0.20,0.00,0.00,0.00,10.40,10.40,9.00,0.00,0.00,0.00,0.00,0.00,Fruit drinks (ready to drink or made from concentrate),"Commercially prepared beverage made from 25% orange juice with added water, sugar and food acid. Does not contain added vitamin C."
82,F004663,11301,"Juice, apple, commercial, added vitamin C",28.68,0.20,0.00,0.20,0.00,7.00,7.00,6.00,0.00,0.00,0.00,0.00,0.00,"Fruit juices, commercially prepared",Commercial beverage prepared by crushing apples and filtering or clarifying the resultant juice. Contains added vitamin C. Does not contain added sugar.
83,F004656,11301,"Juice, apple & blackcurrant, commercial",38.96,0.20,0.00,0.00,0.00,9.30,9.30,6.00,0.00,0.00,0.00,0.00,0.00,"Fruit juices, commercially prepared",Commercial beverage prepared from crushed apples and blackcurrants. Does not contain added sugar.
84,F004726,11301,"Juice, lemon",22.71,0.60,0.20,2.50,0.00,1.80,1.80,2.00,0.00,0.00,0.00,0.00,0.00,"Fruit juices, commercially prepared",Commercial or homemade liquid prepared from the endocarp of lemons.
85,F004729,11301,"Juice, lime",21.27,0.80,0.20,4.10,0.00,1.20,1.20,3.00,0.00,0.00,0.00,0.00,0.00,"Fruit juices, commercially prepared",Commercial or homemade liquid prepared from the endocarp of limes.
86,F004739,11301,"Juice, orange, commercial",26.05,0.80,0.00,0.30,0.00,5.40,5.40,2.00,0.00,0.00,0.00,0.00,0.00,"Fruit juices, commercially prepared","Commercial beverage sold chilled which is prepared from the endocarp of oranges. Contains added vitamin C, but does not contain added sugar."
87,F004731,11301,"Juice, orange & mango, commercial",34.42,0.60,0.00,0.20,0.00,7.70,7.70,4.00,0.00,0.00,0.00,0.00,0.00,"Fruit juices, commercially prepared","Commercial beverage prepared from 95% orange juice and 5% mango juice. Contains added vitamin C, but does not contain added sugar."
88,F005696,11702,"Mineral water, natural, unflavoured",0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,Purchased packaged water including mineral water,"Carbonated or naturally sparkling ground water obtained from subterranean water-bearing strata that, in its natural state, contains soluble matter. No added sugar or flavours."
89,F005694,11505,"Mineral water, citrus flavoured",36.33,0.00,0.00,0.00,0.00,9.30,9.30,15.00,0.00,0.00,0.00,0.00,0.00,Flavoured mineral waters ,"Carbonated, non-alcoholic beverage containing 5% citrus juice (orange and lemon), mineral water and sugar."
90,F008402,11503,"Soft drink, cola flavour",49.24,0.00,0.20,0.00,0.00,12.30,12.30,2.00,0.00,0.00,0.00,0.00,0.00,"Soft drinks, cola","Carbonated, non-alcoholic beverage containing water, sugar, cola flavour, caffeine and colours."
91,F008403,11503,"Soft drink, cola flavour, decaffeinated",49.24,0.00,0.20,0.00,0.00,12.30,12.30,2.00,0.00,0.00,0.00,0.00,0.00,"Soft drinks, cola","Decaffeinated, carbonated, non-alcoholic beverage containing water, sugar, cola flavour."
92,F008404,11504,"Soft drink, cola flavour, intense sweetened or diet",0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,"Soft drinks, cola, intense sweetened","Carbonated, non-alcoholic beverage containing water, intense sweeteners, cola flavour, caffeine and colours."
